country_id,year,green_index_growth,gdp_growth,democracy
438,1998,-0.034926698,0.021257352,-1
438,1999,0.018860357,0.009895306,-1
439,1983,-0.018064799,-0.019531347,-7
439,1984,-0.11676144,-0.055776831,-7
439,1985,0.07080093,0.044303793,-7
439,1986,0.13201845,0.032323178,-7
439,1987,-0.023891771,0,-7
439,1988,-0.008056318,0.021526493,-7
439,1989,0.061145745,-0.005747167,-7
439,1990,-0.02041976,-0.015414289,-7
439,1991,-0.010840259,0.021526493,-5
439,1992,-0.018345417,-0.015325701,-5
439,1993,-0.018826507,-0.030927969,-5
439,1994,0.10985211,-0.011312315,-5
439,1995,0.025678936,0.016192473,-5
439,1996,0.005733201,0.035118937,-5
439,1997,-0.036950499,0.021777097,-4
439,1998,-0.000156121,0.036792293,-4
439,1999,0.042249937,0.033258632,-4
450,1983,-0.048052896,-0.016025625,-7
450,1984,0.017532593,-0.056460354,-6
450,1985,0.13465674,-0.018412005,-6
450,1986,0.012626854,-0.07620164,-6
450,1987,-0.038506951,0.096446745,-6
450,1988,0.016339604,0.008101816,-6
450,1989,0.075690731,-0.030998863,-6
450,1990,0.011339882,-0.049763028,0
450,1991,-0.097788468,-0.072319165,0
451,1983,0.008415295,0.054934837,-7
451,1984,-0.053199813,-0.14827894,-7
451,1985,0.092050903,-0.062176172,-7
451,1986,0.050998788,-0.026519326,-7
451,1987,-0.007487401,-0.014755973,-7
451,1988,-0.056288987,0.024193581,-7
451,1989,0.17791443,0.034870662,-7
451,1990,-0.001087571,-0.020652167,-7
451,1991,-0.079130739,0.027746921,-6
451,1992,-0.056751005,-0.20734338,-7
451,1993,-0.067184761,-0.023229489,-7
451,1994,-0.086052135,0.00998914,-7
451,1995,0.34556574,-0.12219793,-7
451,1996,0.004895105,0.022028696,4
451,1997,-0.020267919,-0.19646581,0
451,1998,-0.034227114,-0.029258572,0
451,1999,0.033371639,-0.099050805,0
452,1983,-0.089760043,-0.031446584,-7
452,1984,0.095704734,0.019480579,-7
452,1985,0.032697648,0.008917159,-7
452,1986,0.045064248,0.018939376,-7
452,1987,-0.002570426,0.001239215,-7
452,1988,-0.04800598,0.003712823,-7
452,1989,0.070780925,0.012330445,-7
452,1990,0.009531946,0.098660208,-7
452,1991,-0.026916459,0.014412429,-4
452,1992,-0.052284423,0.044808686,-1
452,1993,-0.004926364,0.021042498,-1
452,1994,-0.033879589,0.005860309,-1
452,1995,0.15766558,0.013188408,-1
452,1996,-0.003826437,0.020081673,2
452,1997,0.010225224,0.01701604,2
452,1998,-0.063115187,0.022993533,2
452,1999,0.094446912,0.020339634,2
461,1983,-0.099086821,-0.099388376,-7
461,1984,0.023524962,0.049235966,-7
461,1985,-0.008499002,0.030744424,-7
461,1986,0.1484049,0.031397142,-7
461,1987,-0.007139612,-0.036529664,-7
461,1988,-0.041053802,0.006319128,-7
461,1989,0.048742246,0,-7
461,1990,0.044656787,0.006279354,-7
461,1991,-0.054632567,-0.046801828,-5
461,1992,-0.032844074,-0.13256961,-3
461,1993,-0.040492717,-0.17728509,-2
461,1994,0.077523232,0.11534237,-2
461,1995,0.028896788,0.047593694,-2
461,1996,0.035506364,0.065621555,-2
461,1997,0.02143828,0.015303547,-2
461,1998,-0.019415714,-0.04663565,-2
461,1999,0.063163087,-0.002749776,-2
471,1983,-0.029968029,0.047619037,-8
471,1984,0.00448296,0.045454536,-8
471,1985,0.060114641,0.059871696,-8
471,1986,0.044313669,0.008069916,-8
471,1987,-0.04917096,-0.040026646,-8
471,1988,0.034754939,-0.075747021,-8
471,1989,0.048514731,0.023308193,-8
471,1990,0.013156259,-0.09919177,-8
471,1991,-0.094069205,-0.094616592,-8
471,1992,0.025659004,-0.072972946,-4
471,1993,-0.034888178,-0.058528978,-4
471,1994,-0.033480126,-0.051890302,-4
471,1995,0.1734442,0.004491816,-4
471,1996,0.011842179,0.021719275,-4
471,1997,0.000581512,0.022842547,-4
471,1998,-0.033489514,0.02195582,-4
471,1999,0.008133556,0.016678238,-4
475,1983,-0.059160821,-0.11275552,7
475,1984,0.019810069,-0.15170769,-7
475,1985,0.040190324,-0.005617905,-7
475,1986,0.059636232,-0.083804183,-7
475,1987,-0.034818955,-0.073997915,-7
475,1988,-0.0027567,0.04328521,-7
475,1989,0.085976899,0.012765983,-5
475,1990,-0.007938225,0.04516805,-5
475,1991,-0.048341282,0.045226086,-5
475,1992,-0.008029211,-0.059615366,-5
475,1993,-0.022774631,-0.00731644,-7
475,1994,-0.009419022,-0.028076611,-7
475,1995,0.13320288,-0.005283472,-6
475,1996,-0.006820118,0.013630548,-6
475,1997,0.012239963,-0.001008521,-6
475,1998,-0.030394113,-0.008386456,-1
475,1999,0.055633899,-0.015076499,4
481,1983,0.010926125,0.017747346,-9
481,1984,0.021998139,0.036503151,-9
481,1985,0.15332578,-0.086585946,-9
481,1986,-0.050477743,-0.010314297,-9
481,1987,0.010329168,-0.14838716,-9
481,1988,0.005587106,-0.043414898,-9
481,1989,0.026845314,0.16752969,-9
481,1990,0.006096124,0.03261153,-6
481,1991,-0.072079211,-0.066195011,-4
481,1992,-0.060816944,-0.020021677,-4
481,1993,0.025757359,-0.001669523,-4
481,1994,-0.13852903,0.009318237,-4
481,1995,0.27994713,0.043214574,-4
481,1996,0.078747064,0.026294038,-4
481,1997,-0.069537513,0.032308891,-4
481,1998,-0.023952363,-0.003198497,-4
481,1999,0.058997486,-0.083722278,-4
482,1983,0.010732299,-0.12537313,-7
482,1984,-0.045782764,0.061433364,-7
482,1985,0.0663983,0.012861763,-7
482,1986,0.01494842,-0.019047657,-7
482,1987,-0.020034892,-0.053398047,-7
482,1988,-0.003560768,0.005128241,-7
482,1989,0.076500289,-0.005102077,-7
482,1990,0.018593896,-0.010256381,-7
482,1991,-0.10825482,-0.050086331,-6
482,1992,0.047265284,-0.065454565,-6
482,1993,-0.055269279,-0.01871551,6
482,1994,0.021780232,0.027407255,6
482,1995,0.13882512,0.049480598,6
482,1996,-0.012302909,-0.059554569,6
482,1997,0.019475896,0.032447975,6
482,1998,-0.029034358,0.027607881,6
482,1999,-0.002969679,0.015836865,6
483,1983,-0.012161749,-0.18918917,0
483,1984,-0.067949571,0.033333302,-4
483,1985,0.13013685,0.31935486,-7
483,1986,-0.017107241,-0.053789765,-7
483,1987,-0.013664645,-0.049095593,-7
483,1988,0.012076312,0.086956538,-7
483,1989,0.066044979,0.029999986,-7
483,1990,-0.035697922,-0.031553425,-7
483,1991,-0.047039121,0.070175432,-5
483,1992,0.030623332,-0.044496473,-4
483,1993,-0.015061258,-0.18277019,-4
483,1994,0.07882452,0.066614546,-4
483,1995,0.033691715,-0.026111873,-4
483,1996,-0.02578681,-0.004510659,-2
