hhid,cash,age35,schooling,male,nutrition
222,0,1,0,0,-0.47
223,0,0,0,1,1.136
224,1,1,0,0,-0.754
225,0,0,0,0,0.091
226,0,0,0,1,0.091
227,0,1,0,0,-1.307
228,1,1,0,0,0.895
229,1,0,0,1,0.091
230,1,1,0,1,0.953
231,0,0,0,1,-0.02
232,0,0,1,1,0.091
233,0,1,0,1,0.091
234,0,1,0,1,-0.743
235,1,1,0,0,0.895
236,1,1,0,0,0.895
237,1,1,0,0,0.895
238,0,1,1,1,1.136
239,1,0,0,1,-1.057
240,1,0,0,1,0.091
241,0,0,0,1,2.465
242,0,0,0,0,-0.979
243,0,1,0,1,0.091
244,1,1,0,0,0.783
245,1,1,0,0,0.091
246,0,1,1,0,0.091
247,1,1,0,0,0.091
248,0,0,0,0,0.091
249,1,1,0,0,0.091
250,0,0,0,1,-0.415
251,0,0,0,0,-0.192
252,1,0,0,0,0.091
253,1,0,0,1,-0.529
254,0,0,1,1,1.136
255,0,1,0,1,-3.072
256,1,0,0,0,0.895
257,0,0,0,0,0.091
258,1,1,0,0,0.091
259,1,0,0,0,-0.131
260,1,1,0,1,1.136
261,0,0,0,0,0.091
262,0,1,0,0,0.666
263,1,0,0,1,-1.524
264,0,1,0,0,0.091
265,0,1,0,0,0.672
266,1,0,0,0,0.895
267,0,0,0,0,-0.192
268,0,1,0,0,0.895
269,0,1,1,0,0.895
270,1,1,0,0,0.091
271,0,1,0,1,-0.198
272,0,0,0,0,0.895
273,0,0,0,1,-1.161
274,0,1,0,1,-0.192
275,1,0,1,1,-1.11
276,1,0,0,0,-0.192
277,1,0,0,0,1.136
278,1,1,0,0,0.895
279,0,0,0,0,-0.375
280,0,1,0,0,0.895
281,0,0,0,0,1.136
282,1,1,0,1,0.895
283,1,1,0,0,-1.485
284,1,0,0,0,2.465
285,1,1,0,0,-2.941
286,0,1,0,0,-2.81
287,0,1,0,1,1.409
288,0,1,0,1,0.895
289,0,0,0,0,-1.036
290,1,1,0,0,-0.053
291,0,0,0,1,-0.767
292,0,0,0,1,-0.464
293,1,0,0,1,0.895
294,1,1,0,1,-0.006
295,1,0,0,1,-0.981
296,0,1,0,0,1.136
297,1,1,0,0,0.895
298,0,1,0,0,0.091
299,0,1,0,1,0.091
300,1,1,0,0,-0.359
301,1,1,0,0,-0.924
302,0,1,0,0,-0.924
303,1,1,0,0,0.444
304,1,1,0,0,-0.426
305,0,1,0,1,0.895
306,1,0,0,0,-1.524
307,1,1,0,0,-0.652
308,0,1,1,0,0.895
309,0,1,0,0,0.091
310,0,0,0,1,1.136
311,1,1,0,0,0.895
312,1,0,0,1,0.278
313,1,0,0,0,-0.02
314,0,1,0,0,0.091
315,0,0,0,0,0.672
316,0,0,0,0,-2.427
317,0,1,0,0,1.136
318,0,0,0,0,-1.11
319,0,0,0,0,-0.192
320,0,0,0,0,0.895
321,1,0,0,1,-1.87
322,1,0,0,0,-0.743
323,1,1,0,1,0.091
324,0,0,0,0,1.136
325,0,1,0,0,0.091
326,0,1,0,1,-0.47
327,0,0,0,0,0.091
328,0,1,0,1,0.895
329,1,1,0,0,0.091
330,1,0,0,0,-0.584
331,0,1,0,0,0.895
332,0,1,0,0,0.895
333,1,1,0,0,-0.131
334,0,0,0,0,-0.275
335,0,0,0,0,1.698
336,1,0,0,0,0.091
337,0,1,0,0,0.895
338,1,0,0,1,1.136
339,1,1,0,1,1.136
340,0,0,0,0,-1.33
341,0,1,0,0,0.895
342,0,0,0,0,-3.247
343,0,1,0,0,-1.149
344,1,1,0,0,0.895
345,0,0,0,1,-0.743
346,1,1,0,1,-0.192
347,0,1,0,1,0.091
348,0,1,0,1,-0.192
349,1,0,0,1,-0.43
350,1,1,0,0,0.091
351,0,0,1,1,-0.349
352,0,0,0,0,-0.192
353,1,1,0,0,-0.275
354,1,0,0,1,-3.189
355,0,0,0,1,0.091
356,0,0,0,0,0.091
357,0,0,0,1,-0.02
358,1,1,0,1,-0.97
359,0,1,0,1,-1.01
360,1,1,0,0,0.091
361,1,0,0,0,0.091
362,1,1,0,1,0.783
363,1,0,0,0,0.895
364,0,0,0,0,-0.614
365,1,1,0,0,0.091
366,0,0,0,1,-1.521
367,0,1,0,0,0.049
368,0,0,0,1,2.465
369,1,0,1,1,0.091
370,1,0,0,0,1.136
371,1,1,0,1,0.895
372,1,1,0,1,-1.485
373,0,0,0,1,-0.462
374,0,0,0,0,-0.192
375,1,1,0,0,0.091
376,1,1,0,0,-0.131
377,0,1,0,0,-0.356
378,0,1,0,1,-0.164
379,1,0,0,0,-0.584
380,1,1,0,0,-0.865
381,1,0,0,0,-0.559
382,1,0,0,0,-1.477
383,1,1,0,0,0.091
384,1,0,0,0,-1.098
385,0,0,0,1,0.465
386,0,0,0,1,-1.278
387,1,0,0,0,0.219
388,1,1,0,0,1.136
389,1,0,0,0,0.769
390,1,1,0,0,-0.743
391,1,0,0,1,-0.192
392,0,0,0,1,0.895
393,0,0,0,1,0.769
394,0,1,0,1,0.895
395,1,1,0,0,0.895
396,1,1,0,0,0.091
397,1,0,0,1,-0.359
398,1,1,0,0,0.091
399,0,0,0,0,0.895
400,0,1,0,0,-0.359
401,1,0,0,1,0.091
402,0,0,0,1,-0.192
403,0,1,0,0,0.091
404,0,0,0,1,1.136
405,1,0,0,0,0.585
406,0,1,0,1,-1.157
407,0,0,0,0,-1.204
408,1,0,0,0,-0.81
409,1,0,0,1,-0.359
410,1,1,0,0,0.091
411,0,1,0,0,-1.374
412,0,1,0,0,0.091
413,1,0,0,0,0.895
414,1,0,0,0,-0.359
415,0,1,0,0,0.444
416,0,0,0,1,-0.245
417,0,1,0,1,0.895
418,1,0,0,0,0.895
419,1,1,0,1,0.091
420,1,0,0,0,-0.743
421,1,0,0,1,0.895
422,0,1,0,0,0.091
423,1,0,0,1,-2.949
424,0,0,0,0,-2.43
425,0,0,0,0,0.895
426,0,0,0,0,-0.02
427,0,1,0,0,0.898
428,1,0,0,1,1.698
429,1,1,0,1,0.895
430,1,0,0,0,-0.149
431,1,0,0,0,0.672
432,0,1,0,0,0.895
433,1,0,0,0,0.091
434,0,0,0,1,2.465
435,0,0,0,0,0.219
436,1,1,0,0,-1.66
437,0,1,0,0,-0.375
438,1,0,0,1,0.163
439,1,1,0,1,-0.192
440,0,1,0,0,-3.414
441,1,0,0,1,-0.192
442,1,1,0,0,0.895
443,0,1,0,0,-0.275
444,0,1,0,0,-0.349
445,1,0,0,1,-0.131
446,0,1,0,0,0.672
447,1,0,0,1,0.895
448,0,0,0,1,-0.345
449,0,0,0,0,0.091
450,0,0,0,0,0.769
451,1,1,0,0,-1.374
452,1,0,0,0,0.091
453,0,0,0,0,0.091
454,1,0,0,0,-2.622
455,1,0,0,1,-0.02
456,0,0,0,1,-0.192
457,0,0,1,1,-0.242
458,1,1,1,0,-1.477
459,0,1,0,0,-0.242
460,0,0,0,0,0.117
461,0,0,0,0,-0.559
462,1,1,0,0,-0.192
463,1,1,0,0,0.091
464,0,1,0,1,1.698
465,1,0,0,0,0.091
466,1,1,0,1,0.895
467,0,0,0,1,0.091
468,1,1,0,1,-0.754
469,0,0,0,1,1.136
470,1,0,0,0,-0.871
471,0,0,0,0,0.895
472,0,0,0,0,-0.375
473,0,1,0,0,-0.192
474,1,0,0,0,-0.131
475,0,0,0,1,0.091
476,1,1,0,0,-0.02
477,0,0,0,0,0.669
478,0,1,0,1,0.895
479,1,1,0,0,0.091
480,0,1,0,0,-0.387
481,1,0,0,1,-0.359
482,1,1,0,0,-1.219
483,1,1,0,0,0.091
484,1,0,0,0,-0.604
485,0,1,0,0,0.091
486,0,0,0,1,1.136
487,0,0,0,0,0.2
488,0,0,0,0,0.895
489,1,1,0,0,-0.873
490,1,1,0,0,2.465
491,0,0,0,1,0.585
492,1,0,0,0,0.091
493,0,1,0,0,-0.192
494,1,1,0,0,0.669
495,0,1,0,0,0.895
496,1,1,0,0,1.698
497,0,1,0,0,0.672
498,0,1,0,0,0.091
499,1,1,0,0,0.895
500,1,1,0,0,0.091
501,1,0,0,1,0.895
502,0,1,0,0,1.473
503,1,0,1,0,-0.134
504,1,1,0,0,1.698
505,1,0,0,0,0.895
506,1,1,0,0,0.091
507,0,1,0,0,-1.912
508,1,0,0,0,0.091
509,0,1,0,0,-1.485
510,1,0,0,0,-0.131
511,1,0,0,1,0.895
512,1,0,0,0,-0.735
513,1,1,0,0,0.895
514,1,1,0,0,-0.131
515,1,1,1,0,0.895
516,1,1,0,0,0.091
517,1,0,0,0,0.895
518,0,1,0,0,0.091
519,0,0,0,0,0.384
520,0,1,0,0,0.091
521,0,0,0,0,0.091
522,0,1,0,0,0.895
523,0,0,0,0,0.009
524,0,0,0,0,0.091
525,1,0,0,1,-0.192
526,1,0,0,0,0.639
527,1,0,0,0,-0.02
528,1,1,0,0,-0.131
529,1,0,0,0,0.091
530,1,1,0,0,-0.423
531,0,0,0,0,-0.754
532,0,1,0,1,-0.192
533,1,0,0,1,0.091
534,1,0,0,1,0.895
535,1,1,0,0,-0.529
