hhid,cash,eligible,time,male,age35,schooling,nutrition
71,1,0,1,0,1,0,.039885584
72,1,0,0,0,0,0,.61184371
72,1,0,1,0,0,0,.82658541
73,1,0,0,0,0,0,.1216643
73,1,0,1,0,0,0,.039885584
74,1,0,0,0,1,0,-.55376381
74,1,0,1,0,1,0,-1.8108143
75,1,0,0,0,1,0,-.032794926
75,1,0,1,0,1,0,.039885584
76,1,0,0,0,1,0,.21332315
76,1,0,1,0,1,0,-2.0688605
77,1,0,0,0,1,0,-.32987592
77,1,0,1,0,1,0,.039885584
78,1,0,0,0,1,0,-.19686449
78,1,0,1,0,1,0,-.62380916
79,1,0,0,1,1,0,-.061653327
79,1,0,1,1,1,0,-2.0195687
80,1,0,0,1,1,0,.030005489
80,1,0,1,1,1,0,.12459772
81,1,0,0,1,1,0,-.081876285
81,1,0,1,1,1,0,.039885584
82,1,0,0,0,0,0,1.7097913
82,1,0,1,0,0,0,.82658541
83,1,0,0,0,1,0,.21332315
83,1,0,1,0,1,0,.82658541
84,1,0,0,0,1,0,.0046364437
84,1,0,1,0,1,0,.039885584
85,1,0,0,0,0,0,-1.5295374
85,1,0,1,0,0,0,-.75156283
86,1,0,0,1,1,1,-.47841641
86,1,0,1,1,1,1,.82658541
87,1,0,0,0,0,0,-.27615571
87,1,0,1,0,0,0,.82658541
88,1,0,0,0,1,0,.77823955
88,1,0,1,0,1,0,.039885584
89,1,0,0,1,1,0,.13999511
89,1,0,1,1,1,0,1.0697988
90,1,0,0,0,0,0,-1.038797
90,1,0,1,0,0,0,.039885584
91,1,0,0,0,1,0,1.1797786
91,1,0,1,0,1,0,.039885584
92,1,0,0,0,1,0,.88269764
92,1,0,1,0,1,0,1.0697988
93,1,0,0,0,0,0,1.7097913
93,1,0,1,0,0,0,.82658541
94,1,0,0,0,0,0,.0046364437
94,1,0,1,0,0,0,-.31237969
95,1,0,0,0,1,0,.21332315
95,1,0,1,0,1,0,.039885584
96,1,0,0,0,1,0,-.18133542
96,1,0,1,0,1,0,-1.8190166
97,1,0,0,0,1,0,-.032794926
97,1,0,1,0,1,0,.68275172
98,1,0,0,0,0,0,-1.9469109
98,1,0,1,0,0,0,-2.9507029
99,1,0,0,0,1,0,1.7097913
99,1,0,1,0,1,0,.82658541
100,1,0,0,0,0,0,.96155715
100,1,0,1,0,0,0,-.22676605
101,1,0,0,1,1,0,.59492189
101,1,0,1,1,1,0,-.19495793
102,1,0,0,1,1,0,-.7155081
102,1,0,1,1,1,0,2.3663635
103,1,0,0,1,1,0,.030005489
103,1,0,1,1,1,0,-.44604713
104,1,0,0,0,1,0,.21332315
104,1,0,1,0,1,0,.039885584
105,1,0,0,0,1,0,-1.2241905
105,1,0,1,0,1,0,-2.0043378
106,1,0,0,0,1,0,.96155715
106,1,0,1,0,1,0,-.22676605
107,1,0,0,1,1,0,-.42828861
107,1,0,1,1,1,0,.82658541
108,1,0,0,1,1,0,-.18133542
108,1,0,1,1,1,0,-.22676605
109,1,0,0,1,1,0,-.77549738
109,1,0,1,1,1,0,-.22676605
110,1,0,0,1,1,0,.54418379
110,1,0,1,1,1,0,.039885584
111,1,0,0,0,0,0,.030005489
111,1,0,1,0,0,0,-.22676605
112,1,0,0,1,1,0,-.20405026
112,1,0,1,1,1,0,-.19495793
113,1,0,0,1,0,0,-.42828861
113,1,0,1,1,0,0,.82658541
114,1,0,0,1,1,0,-1.4618776
114,1,0,1,1,1,0,.82658541
115,1,0,0,0,1,0,.21332315
115,1,0,1,0,1,0,-.31237969
116,1,0,0,0,1,0,-.18133542
116,1,0,1,0,1,0,1.0697988
117,1,0,0,0,1,0,-.20405026
117,1,0,1,0,1,0,.039885584
118,1,0,0,0,1,0,.5825451
